soiltype	t_res	t_sat	ksat	alpha	Lambda	n	name	category
B1	0.02	0.43	23.41	0.0234	0.000	1.801	Non-loamy sand	s
B2	0.02	0.42	12.52	0.0276	-1.060	1.491	Loamy sand	s
B3	0.02	0.46	15.42	0.0144	-0.215	1.534	Very loamy sand	s
B4	0.02	0.46	29.22	0.0156	0.000	1.406	Extremely loamy sand	s
B5	0.01	0.36	52.91	0.0452	-0.359	1.933	Coarse sand	s
B6	0.01	0.38	100.69	0.0222	-1.747	1.238	Boulder clay	c
B7	0	0.4	14.07	0.0194	-0.802	1.250	Sandy loam	l
B8	0.01	0.43	2.36	0.0099	-2.244	1.288	Silt loam	l
B9	0	0.43	1.54	0.0065	-2.161	1.325	Clayey loam	l
B10	0.01	0.43	0.7	0.0064	-3.884	1.210	Light clay	c
B11	0.01	0.59	4.53	0.0195	-5.901	1.109	Heavy clay	c
B12	0.01	0.54	5.37	0.0239	-5.681	1.094	Very heavy clay	c
B13	0.01	0.42	12.98	0.0084	-1.497	1.441	Loam	l
B14	0.01	0.42	0.8	0.0051	0.000	1.305	Heavy loam	l
B15	0.01	0.53	81.28	0.0242	-1.476	1.280	Peaty sand	s
B16	0.01	0.8	6.79	0.0176	-2.259	1.293	Sandy peat	p
B17	0	0.72	4.46	0.018	-0.350	1.140	Peaty clay	c
B18	0	0.77	6.67	0.0197	-1.845	1.154	Clayey peat	p
O1	0.01	0.36	15.22	0.0224	0.000	2.286	Non-loamy sand	s
O2	0.02	0.38	12.68	0.0213	0.168	1.951	Loamy sand	s
O3	0.01	0.34	10.87	0.017	0.000	1.717	Very loamy sand	s
O4	0.01	0.35	9.86	0.0155	0.000	1.525	Extremely loamy sand	s
O5	0.01	0.32	25	0.0521	0.000	2.374	Coarse sand	s
O6	0.01	0.33	33.92	0.0162	-1.330	1.311	Boulder clay	c
O7	0.01	0.51	39.1	0.0123	-2.023	1.152	River loam	l
O8	0	0.47	9.08	0.0136	-0.803	1.342	Sandy loam	l
O9	0	0.46	2.23	0.0094	-1.382	1.400	Silt loam	l
O10	0.01	0.48	2.12	0.0097	-1.879	1.257	Clayey loam	l
O11	0	0.42	13.79	0.0191	-1.384	1.152	Light clay	c
O12	0.01	0.56	1.02	0.0095	-4.295	1.158	Heavy clay	c
O13	0.01	0.57	4.37	0.0194	-5.955	1.089	Very heavy clay	c
O14	0.01	0.38	1.51	0.003	-0.292	1.728	Loam	l
O15	0.01	0.41	3.7	0.0071	0.912	1.298	Heavy loam l	
O16	0	0.89	1.07	0.0103	-1.411	1.376	Oligotrophic peat	p
O17	0.01	0.86	2.93	0.0123	-1.592	1.276	Eutrophic peat	p
O18	0.01	0.57	34.45	0.0138	-1.204	1.323	Peaty layer	p
